Lat,Lon,secDay,Water temp (C),Salinity (PSU),O2 umol/L,Chl a (mg/m3),sw pCO2 (uatm)
43.722776,-70.144904,57542,1.347925,31.554646999999996,788.0825269999999,1.059717,215.48104500000002
43.722771,-70.144826,57562,1.3604100000000001,31.555412,787.724301,1.072201,215.50466600000001
43.722764,-70.144871,57582,1.340947,31.554281,787.557857,1.081661,215.376104
43.722716,-70.144917,57602,1.318102,31.555305999999998,787.534457,1.080576,215.018869
43.722673,-70.14494,57802,1.419309,31.564552000000003,786.9161429999999,1.086175,219.867466
43.722678,-70.144875,57822,1.403943,31.564735,787.075959,1.096976,220.249996
43.7227,-70.144796,57842,1.403607,31.564137,787.289329,1.112026,220.06068399999998
43.722770000000004,-70.14464100000001,57862,1.3960629999999998,31.563834000000003,787.71642,1.128693,219.57860099999996
43.722691999999995,-70.14449499999999,57882,1.3684889999999998,31.563323999999998,788.015372,1.12471,219.367668
43.722602,-70.144627,57902,1.3390469999999999,31.559718,788.1019759999999,1.099353,219.21742000000003
43.722539000000005,-70.144882,57922,1.358532,31.55841,787.866463,1.069607,218.57915699999998
43.722446999999995,-70.14514799999999,57942,1.385054,31.559112,787.530553,1.049251,218.55580899999998
43.722319,-70.145392,57962,1.3962809999999999,31.559328000000004,787.112416,1.043699,218.13702
43.722171,-70.145611,57982,1.383363,31.557603999999998,786.405213,1.038426,217.319303
43.721965000000004,-70.145779,58002,1.365438,31.556741,785.108816,1.0253290000000002,217.89013599999998
43.721753,-70.145934,58022,1.384469,31.561148,783.377701,1.0181879999999999,218.06935
43.721565000000005,-70.14612,58042,1.434168,31.577092999999998,781.940435,1.013854,218.35062299999998
43.721445,-70.146346,58062,1.516825,31.582490999999997,781.1840900000001,1.017975,218.61856
43.721406,-70.14661,58082,1.540473,31.578615999999997,781.150445,1.019643,219.117972
43.721395,-70.146823,58102,1.547996,31.577656,781.349019,1.021121,221.204075
43.721364,-70.14692600000001,58122,1.5513620000000001,31.572971000000003,781.677027,1.02413,223.79222400000003
43.721338,-70.146966,58142,1.5351219999999999,31.571710999999997,782.052809,1.030023,224.23771299999999
43.721323999999996,-70.147033,58162,1.5219479999999999,31.573541,782.243893,1.0376100000000001,223.97982599999997
43.72132,-70.14713499999999,58182,1.532638,31.572265,782.320308,1.04075,223.92244300000002
43.721312,-70.14715600000001,58202,1.540541,31.570635,782.283866,1.038697,224.018246
43.721309000000005,-70.147129,58222,1.565117,31.569325,782.165497,1.030432,223.90365
43.721268,-70.147185,58242,1.558999,31.569676,782.078196,1.037302,224.321304
43.721139,-70.14715799999999,58262,1.535619,31.570085,782.0682419999999,1.0398399999999999,224.277636
43.721088,-70.146911,58282,1.528483,31.571293,782.323172,1.0444799999999999,225.60917200000003
43.721191999999995,-70.146603,58302,1.5518459999999998,31.571157,782.420211,1.036468,226.90679100000003
43.721379999999996,-70.14636,58322,1.557776,31.571640000000002,782.276936,1.034717,226.217171
43.721585,-70.14635200000001,58342,1.549243,31.575623999999998,781.8593139999999,1.0301420000000001,224.27047599999997
43.721681,-70.14652199999999,58362,1.560555,31.579019,781.552684,1.024645,223.612778
43.721731,-70.14670699999999,58382,1.570349,31.575889,781.437979,1.019141,223.931444
43.721746,-70.146824,58402,1.573545,31.573937,781.480821,1.018186,224.03529
43.721744,-70.146889,58422,1.5687149999999999,31.57194,781.5506379999999,1.014716,224.20147799999998
43.721732,-70.146907,58442,1.559777,31.572825,781.601441,1.022086,224.49186600000002
43.721719,-70.146884,58462,1.554729,31.574196999999998,781.57852,1.031431,225.169022
43.721706,-70.146845,58482,1.567301,31.572924,781.537187,1.039204,224.63817799999998
43.721701,-70.146866,58502,1.57718,31.570408,781.4986610000001,1.039009,224.50453599999997
43.721722,-70.146875,58522,1.5644850000000001,31.570159000000004,781.541861,1.03815,225.349742
43.721726000000004,-70.146849,58542,1.567312,31.570956,781.582785,1.03177,224.81875899999997
43.721712,-70.146813,58562,1.561857,31.571571999999996,781.595357,1.029179,224.611496
43.721691,-70.146782,58582,1.5717020000000002,31.571084000000003,781.543556,1.024769,223.97988999999998
43.72166,-70.146775,58602,1.555763,31.571544,781.482669,1.042901,224.241146
43.721646,-70.146788,58622,1.5358889999999998,31.573755,781.401717,1.063652,224.45425699999998
43.721638,-70.146776,58642,1.535233,31.572556,781.207722,1.074747,224.088489
43.721629,-70.146727,58662,1.5359399999999999,31.571903000000002,781.1612269999999,1.072068,224.29332999999997
43.721610999999996,-70.14665600000001,58682,1.5125110000000002,31.573342999999998,781.280582,1.064471,226.47443900000002
43.72159,-70.14659,58702,1.507735,31.573021999999998,781.525102,1.05502,230.43869700000002
43.72157,-70.146532,58722,1.5109860000000002,31.571510999999997,781.6287629999999,1.04234,231.23050600000002
43.721555,-70.146479,58742,1.497681,31.572584000000003,781.5553070000001,1.0276020000000001,230.368944
43.721548,-70.146423,58762,1.476138,31.575321999999996,781.493157,1.0289629999999998,228.462788
43.721533,-70.146355,58782,1.464525,31.574656,781.3937440000001,1.039093,227.00482999999997
43.721517,-70.146283,58802,1.4631040000000002,31.57425,781.26952,1.051548,226.29547799999997
43.721470000000004,-70.146241,58822,1.463898,31.574334999999998,781.190995,1.0531540000000001,225.112392
43.721406,-70.146381,58842,1.497169,31.574596000000003,781.256215,1.041949,224.815484
43.721408000000004,-70.146636,58862,1.547688,31.574811999999998,781.4562030000001,1.032722,224.59642200000002
43.721404,-70.14681999999999,58882,1.5616139999999998,31.571606,781.656636,1.017652,223.86645299999998
43.721382,-70.146913,58902,1.58782,31.569182,781.806734,1.010591,224.337842
43.721354999999996,-70.146957,58922,1.6010870000000001,31.569503000000005,781.909312,0.9977600000000001,224.442991
43.721327,-70.146967,58942,1.593705,31.570991999999997,782.0750400000001,1.0015129999999999,223.952254
43.721284999999995,-70.14699,58962,1.581978,31.572249,781.70696,1.0119850000000001,223.794373
43.721135,-70.1471,58982,1.566365,31.573459000000003,780.7760480000001,1.021791,223.835229
43.720942,-70.14728199999999,59002,1.576751,31.588361,779.461425,1.01868,223.749039
